Sub-Area,Time,Concentional_mg_L,,new method_1_mg_L,,,new method_2_mg_L,,,new method_3_mg_L,,
FA,0,66.82,68.44,76.6509371,81.81557794,76.93562902,46.03802481,52.54865728,47.22500829,35.84049336,38.60161896,40.30381698
FA,15,70.49,56.05,64.15274059,67.42435607,61.33697905,41.20674137,37.68179196,40.46278017,30.74152368,34.95912701,31.59707892
FA,30,55.86,56.99,56.30628341,56.8852686,60.25877927,31.88976588,37.77974731,33.41949194,23.79105433,24.46111898,29.0383693
FA,69,44.66,51.57,64.67460256,54.72542447,56.76239608,35.69169765,33.57642522,37.9478359,28.80423178,26.17772532,26.69748804
FA,98,38.04,43.83,49.66099104,50.57223731,51.22636432,29.96466443,27.05061509,29.83425043,18.65449074,16.74915445,16.87962642
SA1,0,57.4,67.44,72.02157284,75.52971846,73.09803996,47.86150273,46.9699159,44.48832667,42.49174769,32.32538902,43.92087874
SA1,15,55.71,61.21,53.6423718,55.03781917,62.01328819,32.71114821,36.23579315,50.05734585,23.02719719,31.1771225,33.04225671
SA1,30,49.07,50.01,61.4451468,57.39588207,52.10858094,36.80983161,44.62449643,40.62047995,27.27713407,30.4831294,21.58403328
SA1,69,47.9,48.5,53.1578669,57.61761029,53.43926554,31.11136682,35.20443127,36.49305078,19.20839886,18.0964008,18.32272993
SA1,98,41.48,46.47,50.74787485,49.93490687,50.31210439,28.6972151,30.90776555,29.03745017,17.605746,14.07704922,16.45033404
SA5,0,59.13,54.98,64.91756747,66.00052851,72.1965384,48.70483563,46.81398021,49.42363564,39.6717056,38.49483225,43.47180637
SA5,15,56.43,60.69,71.65173488,70.55104275,60.68509004,44.5286757,48.85394504,41.72612063,34.12493628,28.02649363,26.19100709
SA5,30,46.47,54.2,54.92430213,54.69011053,54.12577106,39.22015894,40.19791588,36.22983324,26.21409224,26.27555348,33.86252332
SA5,69,42.58,35.72,50.49076424,50.88563519,47.14401957,30.2518954,25.48359956,35.70815109,15.24010918,15.19910771,13.80214609
SA5,98,40.7,37.87,52.33998141,53.87378216,60.36562016,28.60997087,27.06850681,31.63315576,12.50471667,13.65803722,18.57796275
DP1,0,64.25,67.9,73.60101768,71.56072567,68.85826081,45.57012132,47.61100191,40.12506723,40.9653106,38.67136382,40.73869684
DP1,15,52.8,52.55,64.69768623,59.20980305,58.06206042,40.45239962,51.95933477,40.61173276,28.94418295,27.8459727,23.94507428
DP1,30,59.09,50.18,53.20240586,53.03379473,54.03752198,40.08463681,32.40806078,42.11343711,25.89769312,20.09031417,29.44854671
DP1,69,47.67,37.87,51.34617653,57.01243878,60.40837051,31.42080302,29.09857101,27.68440202,15.40697494,21.81294716,17.63257142
DP1,98,43.86,38.61,58.17863664,62.82614676,54.67916588,29.95559069,32.89398363,24.1869956,20.53059761,15.50487249,17.07625912
DP2,0,64.87,57.76,66.46897857,68.42966533,68.31864939,51.99138602,44.73692496,38.03786366,36.16691624,36.95545201,36.16708631
DP2,15,54.06,53.08,58.6886764,55.88387449,55.31324478,45.67724982,34.25040434,32.5648586,26.38994875,26.34208294,29.9682082
DP2,30,48.13,48.38,55.06212944,55.08342915,61.66749803,34.33819606,30.47172831,32.68355094,22.08587934,25.98581383,26.77358283
DP2,69,43.02,37.69,59.23379325,54.22910699,52.02488355,36.5574712,35.27028824,30.38467169,22.07094184,17.25122357,17.34828302
DP2,98,36.34,35.7,55.93673324,53.33696064,50.82363587,26.75960126,22.96808108,23.6212354,14.03448112,13.9693098,13.84238338
