Item/Point,Version - English,Version - Français,,,,,,,,,,,,,,,,,
Data File Name / Nom du fichier de données,MainstemWaterQuality-LTWQM-M2-M7-Mercury-2011-2025.V2.csv,MainstemWaterQuality-LTWQM-M2-M7-Mercury-2011-2025.V2.csv,,,,,,,,,,,,,,,,,
Date File Generated / Date de fichier généré,2025-10-31,2025-10-31,,,,,,,,,,,,,,,,,
Context Note / Note contextuelle,"Athabasca River (includes sites M2, M3, M4, M5, M6, M7 [2011-February 2024]) 

Water quality chemistry data for 17 sites in the lower Athabasca River (LAR), the Peace and Slave rivers, and their tributaries, including measurements of major ions, nutrients, metals (dissolved and total) and organics (including BTEX, cyanide and polycyclic aromatic hydrocarbons (PAHs).

An interpretive report (Glozier et. al., 2018) was released in 2018, which included assessments of the water quality status and trends for data from 2012-2015. An excerpt from the executive summary is provided below and the full report can be found on line here (http://environmentalmonitoring.alberta.ca/wp-content/uploads/2018/10/OS-TS-Water-1.4-Surface-Water-Quality-Mainstem-Tribs-Delta-1.pdf) ;

“During the three year JOSM period, over 1300 water quality samples were collected from 21 locations representing a nearly 5-fold increase in overall sampling effort in the Lower Atahbasc river (LAR), Peace River (PR), Slave River (SR) and Peace Athabasca Delta (PAD). Status and spatial patterns among sites were examined for each parameter type including major ions, nutrients, mercury, and metals. 

The major spatial patterns of interest included:

1. Extensive overlap in concentration of major ions, mercury, nitrogen and carbon along the LAR and main stem sites within the PAD; 
2. Extensive overlap in concentration for metals along the LAR but a range of patterns among PAD mainstem sites.  
• The most common pattern showed consistent concentration values for all main stem sites from the LAR at M3 though to the outlet of the SR at SL2. 
• Similar to above, a second pattern showed similar concentrations along the length of the LAR main stem through to the interconnecting channel (i.e., M3-M10), but various patterns along the remaining main stem locations.  
3. Range of concentration for parameters among the PAD tributary sites. 
• In general, concentrations of metals, phosphorus and mercury in the McIvor and Birch rivers were higher than the other tributaries. Given the highly variable nature of water chemistry within and between PAD tributary sites, ongoing sampling will be required to adequately characterize the status and patterns of these new sites. 
4. Patterns in phosphorus concentration
• Along the course of the LAR, the largest step increase for phosphorus occurred between M2 and M3, with concentrations remaining similar from M3-M9. 
• Dissolved phosphorus values in the PR (M12) were the lowest; with the SR (M11A-SL2) appearing to be a mixture of the differential concentrations of the two main contributors.  
5. Patterns in dissolved selenium
• In contrast to patterns discussed for other parameters, dissolved selenium concentrations showed statistically significant gradual increases in concentration between M3 and M6 after which concentrations stabilised at downstream sites (M7-M9). This pattern was dependent on the time year and most evident under high flow conditions during freshet.  

All but one parameter had consistent concentrations along the main stem of the LAR from M3 to the downstream site M9. Thus, spatial patterns (other than for dissolved selenium) that were observed were attributed to changes in non-oil sands related inputs such as municipal or other industrial inputs or differences in geological sources.  The increasing dissolved selenium pattern from M3-M6 may be linked to higher tributary inputs during freshet as reported by Chambers et al., 2017.

Seasonal patterns and temporal trends examined showed:

1. Typical seasonal patterns in water quality concentration included dissolved parameters exhibiting a pattern inverse to the hydrograph (with minimum concentrations occurring during high discharge periods and maximum concentrations occurring in low flow, under ice) while particulate associated parameters generally had higher concentrations during high flow spring/summer periods when suspended sediment loads were high. 
2. Long-term trend analysis on data from M9 showed that, for the most recent period (2000-2014), several parameters including dissolved phosphorus and ammonia exhibited reductions in concentration while total phosphorus concentrations (which previously had been increasing) are now stable. Several changes in anthropogenic inputs are associated with these trends and include upgrades to facilities and the subsequent reductions to total loadings within the Athabasca River basin. 
3. For several major ions and dissolved metals which displayed increasing trends at M9, results were similar when we examined trends at other sites in northern areas of Canada not directly downstream of the OSMA. As such, the increasing trends reported may have a broader regional pattern and are thus not likely directly related to upstream oil sands activities.  

Evaluation of the data against 39 water quality guidelines revealed that nineteen of the parameters showed no values above guidelines (i.e., no exceedances). Some metals (namely iron and aluminum) commonly (>75%) showed values higher than the guideline, particularly during periods of high suspended sediment concentrations. Total mercury samples showed occasional (<6%) exceedances but, similar to total metals, these values were associated with high suspended sediment values. Site specific guidelines may be more appropriate and provide a better warning of changes to water quality, particularly for parameters which are associated with the commonly occurring high suspended sediments. “
","La rivière Athabasca (comprend les sites M2, M3, M4, M5, M6, M7 [2011-fev 2024]) 

Les données sur les propriétés chimiques de la qualité de l’eau de 17 sites du cours inférieur de la rivière Athabasca, des rivières de la Paix et des Esclaves et de leurs affluents comprennent les mesures des principaux ions, éléments nutritifs, métaux (dissous et totaux) et matières organiques (y compris le benzène, le toluène, l’éthylbenzène et le xylène [BTEX], le cyanure et les hydrocarbures aromatiques polycycliques [HAP]). 

Un rapport interprétatif (Glozier et coll., 2018) a été publié en 2018; il contenait des évaluations de l’état et des tendances de la qualité de l’eau selon des données recueillies de 2012 à 2015. Un extrait du résumé se trouve ci-dessous, le rapport complet est en ligne ici (en anglais seulement)(http://environmentalmonitoring.alberta.ca/wp-content/uploads/2018/10/OS-TS-Water-1.4-Surface-Water-Quality-Mainstem-Tribs-Delta-1.pdf).

«?Durant la période de surveillance des sables bitumineux, qui était de trois ans, plus de 3000 échantillons d’évaluation de la qualité de l’eau ont été prélevés à 21 sites différents, ce qui représentait dans l’ensemble des activités d’échantillonnage presque cinq fois plus intensives dans le cours inférieur de la rivière Athabasca, la rivière de la Paix, la rivière des Esclaves et le delta des rivières de la Paix et Athabasca. L’état et les distributions spatiales parmi les sites ont été étudiés pour chaque type de paramètre, y compris les principaux ions, les nutriments, le mercure et les métaux. 

Les principales distributions spatiales d’intérêt étaient les suivantes : 
1. Important chevauchement dans la concentration des principaux ions, du mercure, de l’azote et du carbone le long du cours inférieur de la rivière Athabasca et des sites du tronçon principal du delta des rivières de la Paix et Athabasca; 
2. Important chevauchement dans la concentration des métaux le long du cours inférieure de la rivière Athabasca mais toutes sortes de distributions parmi les sites du tronçon principal du delta des rivières de la Paix et Athabasca. 
• La distribution la plus courante présentait des valeurs de concentration consistantes pour tous les sites du tronçon principal du cours inférieur de la rivière Athabasca du point M3 jusqu’à la décharge de la rivière des Esclaves au point SL2. 
• Tout comme ci-dessus, une deuxième distribution présentait des concentrations semblables tout au long du tronçon principal du cours inférieur de la rivière Athabasca jusqu’au canal reliant les rivières (M3-M10), mais divers profils le long des emplacements restants du tronçon principal. 
3. Fourchette de concentrations pour les paramètres étudiés parmi les sites tributaires du delta des rivières de la Paix et Athabasca. 
• En général, les concentrations des métaux, du phosphore et du mercure dans les rivières McIvor et Birch étaient plus élevées que dans d’autres tributaires. Étant donné la nature très variable de la chimie aquatique au sein des sites tributaires du delta et entre eux, il sera nécessaire de continuer à faire de l’échantillonnage pour pouvoir caractériser de façon adéquate l’état et les tendances de ces nouveaux sites. 
4. Distributions dans la concentration du phosphore
• Le long du cours inférieur de la rivière Athabasca, la plus grande différence (hausse) pour le phosphore se trouvait entre les points M2 et M3, alors que les concentrations restaient semblables de M3 à M9. 
• Les valeurs du phosphore dissous étaient les plus basses dans la rivière de la Paix (M12); la rivière des Esclaves (de M11A à SL2) semblant présenter un mélange des concentrations différentielles des deux contributeurs principaux. 
5. Distribution pour le sélénium dissous 
• Contrairement aux tendances discutées pour les autres paramètres, les concentrations de sélénium dissous montraient des hausses graduelles significatives sur le plan statistique de la concentration entre M3 et M6, après quoi les concentrations se stabilisent aux sites en aval (M7 à M9). Cette distribution variait selon la période de l’année, mais était la plus évidente dans des conditions de débit élevé, durant la crue printanière. 

Tous les paramètres sauf un avaient des concentrations consistantes le long du tronçon principal du cours inférieur de la rivière Athabasca, du site M3 au site M9 en aval. Ainsi, les distributions spatiales (autres que celles du sélénium dissous) observées ont été attribuées à des changements dans les apports non liés aux sables bitumineux, comme les apports municipaux ou provenant d’autres activités industrielles, ou à des différences parmi les sources géologiques. Les concentrations croissantes de sélénium dissous de M3 à M6 pourraient être liées à des apports plus élevés des affluents durant la crue printanière, comme l’a signalé Chambers et coll., 2017.

Les distributions saisonnières et les tendances temporelles examinées ont montré : 
1. Les distributions saisonnières typiques de la concentration en relation avec la qualité de l’eau comprenaient des paramètres dissous dont la distribution s’avérait inverse à celle de l’hydrogramme (les concentrations minimales avaient lieu durant les périodes de décharge élevée et les concentrations maximales, lors de débits faibles, sous la glace), alors que les paramètres associés aux particules avaient généralement des concentrations plus élevées durant les périodes de débit élevé du printemps et de l’été, lorsque les charges de sédiments en suspension étaient élevées. 
2. L’analyse des tendances à long terme des données du site M9 ont montré que, pour la période la plus récente (2000-2014), plusieurs paramètres, dont le phosphore dissous et l’ammoniac, montrait une réduction de la concentration alors que les concentrations totales de phosphore (qui augmentaient auparavant) sont maintenant stables. Plusieurs changements parmi les apports anthropiques sont associés à ces tendances, par exemple la mise à niveau de certaines installations et les réductions subséquentes aux charges totales dans le bassin de la rivière Athabasca. 
3. Pour plusieurs ions principaux et métaux dissous pour lesquels on observait une tendance à la hausse au site M9, les résultats étaient semblables aux résultats observés lors de l’examen des tendances à d’autres sites dans les régions nordiques du Canada ne se trouvant pas directement en aval du secteur des sables bitumineux exploitables. Ainsi, les tendances à la hausse signalées pourraient avoir une distribution régionale plus élargie et donc ne pas être directement liées aux activités d’exploitation des sables bitumineux en amont. 

L’évaluation des données selon 39 recommandations pour la qualité de l’eau a révélé que pour 19 des paramètres les valeurs ne dépassaient pas les valeurs recommandées (pas d’excursions). Certains métaux (soit le fer et l’aluminium) avaient couramment (>75 %) des valeurs plus élevées que les valeurs recommandées, en particulier durant les périodes où il y avait une concentration élevée de sédiments en suspension. Les échantillons de mercure total indiquaient des excursions occasionnelles (<6 %) mais, tout comme pour les métaux totaux, ces valeurs étaient associées aux valeurs élevées des sédiments en suspension. Des recommandations propres au site seraient peut-être plus appropriées et avertiraient mieux des changements à la qualité de l’eau, en particulier pour les paramètres associés à des valeurs élevées de sédiments en suspension.?» [traduction]
",,,,,,,,,,,,,,,,,
Organization Name / Nom de l’organisme,Environment and Climate Change Canada,Environnement et Changement climatique Canada ,,,,,,,,,,,,,,,,,
"Organization Contact Information / 
Coor-données de l’organi-sation 

","200 Sacre-Coeur Blvd, Gatineau, Quebec,  K1A 0H3","200, boul. Sacré Coeur, Gatineau (Québec)  K1A 0H3",,,,,,,,,,,,,,,,,
Email / Courriel,enviroinfo@canada.ca,enviroinfo@canada.ca,,,,,,,,,,,,,,,,,
Program / Programme,Joint Canada-Alberta Implementation Plan for Oil Sands Monitoring (JOSM) Water Implementation Plan Activities - Surface Water Quality - Mainstem Water Quality (http://www.publications.gc.ca/site/eng/436043/publication.html),"Plan de mise en œuvre conjoint Canada-Alberta pour la surveillance visant les sables bitumineux (JOSM), activités du plan de mise en œuvre de l’eau – La qualité de l'eau de surface – Qualité de l'eau du tronçon principal (http://www.publications.gc.ca/site/eng/9.641196/publication.html)",,,,,,,,,,,,,,,,,
Principal Investigator / Chercheur Principal,Kerry Pippy,Kerry Pippy,,,,,,,,,,,,,,,,,
Principal Investigator Affiliation / Affiliation du chercheur principal,"Environment and Climate Change Canada, Science and Technology Branch, Water Science and Technology Directorate, Water Quality Monitoring and Surveillance Division","Environnement et Changement climatique Canada, Direction générale des sciences et de la technologie, Direction des sciences et technologie – Eau,  Monitoring et surveillance de la qualité de l'eau",,,,,,,,,,,,,,,,,
