Variable Name,Nom de la variable,"Variable Code (2011-2012, 2012-2013) / Code de la variable (2011-2012, 2012-2013)",Detection Limit (DL) /  Limite de détection de la méthode (LD),Variable Code (2013-2018) / Code de la variable (2013-2018),Detection Limit (DL) /  Limite de détection de la méthode (DL),Variable Code / Code de la variable,Detection Limit (DL) /  Limite de détection de la méthode (LD),Variable Code (Metal45) / Code de la variable (Métaux45),Variable Code (Metals34) / Code de la variable (Métaux34),Detection Limit (DL) /  Limite de détection de la méthode (LD),Unit / Unité,Laboratory / Laboratoire ,,Notes/ Remarques
CALCIUM DISSOLVED (FILTERED),Calcium dissous / filtré,20103,0.05,109109,0.01,,,,,,MG/L,NLET Burlington,,
MAGNESIUM DISSOLVED (FILTERED),Magnésium dissous / filtré,12102,0.01,109111,0.01,,,,,,MG/L,NLET Burlington,,
SODIUM DISSOLVED FILTERED,Sodium dissous / filtré,100500,0.01,109111,0.01,,,,,,MG/L,NLET Burlington,,
POTASSIUM DISSOLVED (FILTERED),Potassium dissous/filtré,100499,0.01,109110,0.01,,,,,,MG/L,NLET Burlington,,
FLUORIDE DISSOLVED,Fluorure dissous,108310,0.01,108310,0.01,,,,,,MG/L,NLET Burlington,,
CLORIDE DISSOLVED,Chlorures dissous,108311,0.01,108311,0.01,,,,,,MG/L,NLET Burlington,,
SULPHATE DISSOLVED,Sulfates dissous,108312,0.01,109113,0.01,,,,,,MG/L,NLET Burlington,,
TOTAL ALKALINITY,Alcalinité totale,10111,0.1,10111,0.1,,,,,,MG/L CaCO3,NLET Burlington,,
GRAN ALKALINITY,Alcalinité Gran,10110,,10110,,,,,,,MG/L CaCO3,NLET Burlington,,
PHENOLPHTHALEIN ALKALINITY,Alcalinité phénolphtaléine,10151,0.1,10151,0.1,,,,,,MG/L CaCO3,NLET Burlington,,
PH, pH,10301,,10301,,,,,,,PHUNITS,NLET Burlington,,
CONDUCTIVITY,Conductance spécifique,2041,0.9,2041,0.9,,,,,,US/CM,NLET Burlington,,
COLOUR-TRUE,Couleur vraie,2021,5,2021,5,,,,,,COL.UNIT,NLET Saskatoon ,,
TURBIDITY,Turbidité,2081,0.01,2081,0.01,,,,,,NTU,NLET Saskatoon ,,
TURBIDITY,Turbidité,459,0.05,459,0.05,,,,,,NTU,PYLET,,
COLOUR-TRUE,Couleur vraie,2021,2.5,2021,2.5,,,,,,COL.UNIT,PYLET,,
CARBON PARTICULATE ORGANIC,Carbone organique particulaire,,,,,6902,0.005,,,,MG/L,NLET Burlington,,
NITROGEN PARTICULATE,Azote particulaire ,,,,,7902,0.002,,,,MG/L,NLET Burlington,,
AMMONIA DISSOLVED,Azote ammoniacal dissous,,,,,7540,0.005,,,,MG/L,NLET Saskatoon,,
POC,Carbone organique particulaire,,,,,6901,0.04,,,,MG/L,NLET Saskatoon,,
PON,Azote particulaire ,,,,,7901,0.01,,,,MG/L,NLET Saskatoon,,
Phosphorous Ortho ,Phosphore ortho,,,,,15265,0.002,,,,MG/L,NLET Saskatoon,,
Phosphorous Dissolved ,Phosphore total dissous,,,,,15465,0.002,,,,MG/L,NLET Saskatoon,,
Nitrogen Total Dissolved ,Azote total dissous ,,,,,7657,0.01,,,,MG/L,NLET Saskatoon,,
Nitrogen Total Dissolved ,Azote total dissous ,,,,,108767,0.015,,,,MG/L,NLET Saskatoon,,
CARBON DISSOLVED ORGANIC,Carbone organique dissous ,,,,,6104,0.1,,,,MG/L,NLET Saskatoon,,
CARBON DISSOLVED ORGANIC,Carbone organique dissous ,,,,,6104,0.5,,,,MG/L,PYLET,,
Nitrogen-NO3+NO2, Nitrites/nitrates dissous,,,,,7110,0.002,,,,MG/L,NLET Saskatoon,,
Phosphorous Total ,Phosphore total,,,,,15423,0.002,,,,MG/L,NLET Saskatoon,,
Phosphorous-Total Low Level,Phosphore total faible niveau,,,,,15413,0.0002,,,,MG/L,NLET Saskatoon,,
Phosphorous-Diss Low level,Phosphore dissous faible niveau,,,,,15463,0.0002,,,,MG/L,NLET Saskatoon,,
TSS,Résidus non-filtrables,,,,,10401,1,,,,MG/L,NLET Saskatoon,,
FSS,Résidus fixes non-filtrables,,,,,10501,1,,,,MG/L,NLET Saskatoon,,
TSS,Résidus non-filtrables,,,,,10401,5,,,,MG/L,PYLET,,
FSS,Résidus fixes non-filtrables,,,,,10501,10,,,,MG/L,PYLET,,
AMMONIA DISSOLVED,Azote ammoniacal dissous,,,,,7556,0.005,,,,MG/L,TAIGA,,
CARBON DISSOLVED ORGANIC,Carbone organique dissous ,,,,,106008,0.5,,,,MG/L,TAIGA,,
NITRATE/  NITRITE,Nitrate / Nitrite,,,,,106000,0.01,,,,MG/L,TAIGA,,
NITROGEN DISSOLVED,Azote dissous ,,,,,107205,0.06,,,,MG/L,TAIGA,,
NITROGEN NITRATE,Azote nitrate,,,,,106018,0.01,,,,MG/L,TAIGA,,
NITROGEN NITRITE,Azote nitrite,,,,,106017,0.01,,,,MG/L,TAIGA,,
NITROGEN TOTAL,Azote total,,,,,107200,0.06,,,,MG/L,TAIGA,,
PHOSPHOROUS TOTAL,Phosphore total,,,,,106007,0.01,,,,MG/L,TAIGA,,
PHOSPHOROUS TOTAL DISSOLVED,Phosphore total dissous,,,,,106006,0.01,,,,MG/L,TAIGA,,
PHOSPHOROUS TOTAL,Phosphore total,,,,,108864,0.003,,,,MG/L,TAIGA,,
PHOSPHOROUS TOTAL,Phosphore total,,,,,15406,NA,,,,MG/L,TAIGA,,
PHOSPHOROUS TOTAL DISSOLVED,Phosphore total dissous,,,,,108865,0.003,,,,MG/L,TAIGA,,
PHOSPHOROUS TOTAL DISSOLVED,Phosphore total dissous,,,,,15102,NA,,,,MG/L,TAIGA,,
RESIDUE FILTERABLE,Résidus filtrables,,,,,106004,1,,,,MG/L,TAIGA,,
