"Measuring program","Site name","Station number","Station name","Latitude","Longitude","Sampling location","Sample date","Sample time","Sample depth","Sample final depth","Sample number","Sample Matrix","Sample Type","Sample Collection","Laboratory","QC Sample (Y/N)","Lab QAQC Batch ID","Analysis method name","Analysis method code","Reporting Detection Limit (RDL)","RDL Unit","Parameter type group","Parameter type name","Parameter sign","Parameter value","Parameter unit symbol","Parameter value and sign","Parameter unit name","Lab Qualifier 1","Lab Qualifier 2","Lab Qualifier 3","Lab Qualifier 4","Sampling comment","Sample remark","Parameter remark","Parameter standard remark","Last modified date and time"
"ABS098","KEARL LAKE","AB07DA2210","KEARL LAKE","57.29170000","-111.23330000","Centre","2002-09-04","12:00:00","","","02SWE03131","","DISCRETE SAMPLE (GRAB)","HAND COLLECTION -- WHETHER WATER; SEDIMENT OR BIOTA","UNIVERSITY OF ALBERTA - BIOGEOCHEMICAL ANALYTICAL SERVICE LABORATORY","N","","True and apparent colour are determined using platinum-cobalt colourimetric method.","3535","1","rel units","Routine","Colour True","","80","---","80","scalar","","","","","","","No field readings, fieldsheet missing.  Metals analysis was not done, reason unknown, too late to follow up.","","2021-02-04 09:51:43"
"ABS098","KEARL LAKE","AB07DA2210","KEARL LAKE","57.29170000","-111.23330000","Centre","2002-09-04","12:00:00","","","02SWE03131","","DISCRETE SAMPLE (GRAB)","HAND COLLECTION -- WHETHER WATER; SEDIMENT OR BIOTA","UNIVERSITY OF ALBERTA - BIOGEOCHEMICAL ANALYTICAL SERVICE LABORATORY","N","","pH - electrometric method","389","","pH units","Routine","pH","","7.70","---","7.70","scalar","","","","","","","No field readings, fieldsheet missing.  Metals analysis was not done, reason unknown, too late to follow up.","","2021-02-04 09:51:43"
"ABS098","KEARL LAKE","AB07DA2210","KEARL LAKE","57.29170000","-111.23330000","Centre","2002-09-04","12:00:00","","","02SWE03131","","DISCRETE SAMPLE (GRAB)","HAND COLLECTION -- WHETHER WATER; SEDIMENT OR BIOTA","UNIVERSITY OF ALBERTA - BIOGEOCHEMICAL ANALYTICAL SERVICE LABORATORY","N","","Specific conductance using a conductivity meter with platinum electrodes","32","0.3","uS/cm","Routine","Specific Conductance","","181","µS/cm","181","microsiemens per centimeter","","","","","","","No field readings, fieldsheet missing.  Metals analysis was not done, reason unknown, too late to follow up.","","2021-02-04 09:51:43"
"ABS098","KEARL LAKE","AB07DA2210","KEARL LAKE","57.29170000","-111.23330000","Centre","2002-09-04","12:00:00","","","02SWE03131","","DISCRETE SAMPLE (GRAB)","HAND COLLECTION -- WHETHER WATER; SEDIMENT OR BIOTA","UNIVERSITY OF ALBERTA - BIOGEOCHEMICAL ANALYTICAL SERVICE LABORATORY","N","","Nonfilterable residue by gravimetric method","396","0.05","mg/L","Routine","Residue Nonfilterable","","3.00","mg/l","3.00","milligram per litre","L: Off-scale high. Actual value is known to be greater than value given","","","","","","No field readings, fieldsheet missing.  Metals analysis was not done, reason unknown, too late to follow up.","","2021-02-04 09:51:43"
"ABS098","KEARL LAKE","AB07DA2210","KEARL LAKE","57.29170000","-111.23330000","Centre","2002-09-04","12:00:00","","","02SWE03131","","DISCRETE SAMPLE (GRAB)","HAND COLLECTION -- WHETHER WATER; SEDIMENT OR BIOTA","UNIVERSITY OF ALBERTA - BIOGEOCHEMICAL ANALYTICAL SERVICE LABORATORY","N","","Atomic absorption spectrometry","482","0.003","mg/L","Major Ions","Calcium Dissolved","","20.60","mg/l","20.60","milligram per litre","","","","","","","No field readings, fieldsheet missing.  Metals analysis was not done, reason unknown, too late to follow up.","","2021-02-04 09:51:43"
"ABS098","KEARL LAKE","AB07DA2210","KEARL LAKE","57.29170000","-111.23330000","Centre","2002-09-04","12:00:00","","","02SWE03131","","DISCRETE SAMPLE (GRAB)","HAND COLLECTION -- WHETHER WATER; SEDIMENT OR BIOTA","UNIVERSITY OF ALBERTA - BIOGEOCHEMICAL ANALYTICAL SERVICE LABORATORY","N","","Fluorometry with ethanol extraction","484","0.02","ug/L","Biological","Chlorophyll A","","0.0","µg/l","0.0","microgram per litre","L: Off-scale high. Actual value is known to be greater than value given","","","","","","No field readings, fieldsheet missing.  Metals analysis was not done, reason unknown, too late to follow up.","","2021-03-12 11:26:14"
"ABS098","KEARL LAKE","AB07DA2210","KEARL LAKE","57.29170000","-111.23330000","Centre","2002-09-04","12:00:00","","","02SWE03131","","DISCRETE SAMPLE (GRAB)","HAND COLLECTION -- WHETHER WATER; SEDIMENT OR BIOTA","UNIVERSITY OF ALBERTA - BIOGEOCHEMICAL ANALYTICAL SERVICE LABORATORY","N","","Analysis of anions and cations by suppressed ion chromatography","2912","0.03","mg/L","Major Ions","Chloride Dissolved","","1.00","mg/l","1.00","milligram per litre","L: Off-scale high. Actual value is known to be greater than value given","","","","","","No field readings, fieldsheet missing.  Metals analysis was not done, reason unknown, too late to follow up.","","2021-02-04 09:51:43"
"ABS098","KEARL LAKE","AB07DA2210","KEARL LAKE","57.29170000","-111.23330000","Centre","2002-09-04","12:00:00","","","02SWE03131","","DISCRETE SAMPLE (GRAB)","HAND COLLECTION -- WHETHER WATER; SEDIMENT OR BIOTA","UNIVERSITY OF ALBERTA - BIOGEOCHEMICAL ANALYTICAL SERVICE LABORATORY","N","","Calculated value (pH)","137","2.5","mg/L","Major Ions","Carbonate (calcd.)","","5.00","mg/l","5.00","milligram per litre","L: Off-scale high. Actual value is known to be greater than value given","","","","","","No field readings, fieldsheet missing.  Metals analysis was not done, reason unknown, too late to follow up.","","2021-02-04 09:51:43"
"ABS098","KEARL LAKE","AB07DA2210","KEARL LAKE","57.29170000","-111.23330000","Centre","2002-09-04","12:00:00","","","02SWE03131","","DISCRETE SAMPLE (GRAB)","HAND COLLECTION -- WHETHER WATER; SEDIMENT OR BIOTA","UNIVERSITY OF ALBERTA - BIOGEOCHEMICAL ANALYTICAL SERVICE LABORATORY","N","","Carbon in water is determined by auto infrared analyzer.","3142","0.1","mg/L","Carbon","Carbon Dissolved Organic","","21.0","mg/l","21.0","milligram per litre","","","","","","","No field readings, fieldsheet missing.  Metals analysis was not done, reason unknown, too late to follow up.","","2021-02-04 09:51:43"
"ABS098","KEARL LAKE","AB07DA2210","KEARL LAKE","57.29170000","-111.23330000","Centre","2002-09-04","12:00:00","","","02SWE03131","","DISCRETE SAMPLE (GRAB)","HAND COLLECTION -- WHETHER WATER; SEDIMENT OR BIOTA","UNIVERSITY OF ALBERTA - BIOGEOCHEMICAL ANALYTICAL SERVICE LABORATORY","N","","Atomic absorption spectrometry","482","0.02","mg/L","Minor Elements","Iron Dissolved","","0.12","mg/l","0.12","milligram per litre","","","","","","","No field readings, fieldsheet missing.  Metals analysis was not done, reason unknown, too late to follow up.","","2021-02-04 09:51:43"
