path,filename,front_matter,body
.,Create quality control parameters and testing protocols.md,"work_item_id: 1014
due date: 2025-01-07
responsible: Shawn
accountable: Greg
consulted: Jeff
informed: Board
status: """"","
**Task:**

Create quality control parameters and testing protocols

**Details:**

- Establish QC metrics (sensitivity, accuracy)
- Draft testing procedures and acceptance criteria
- Align with regulatory standards"
.,Establish accounting systems.md,"work_item_id: 1016
due date: 2025-01-22
responsible: Greg
accountable: Greg
consulted: Shawn, Jeff
informed: Board
status: """"","
**Task:**

Establish accounting systems

**Details:**

- Select accounting software (e.g., QuickBooks)
- Set up chart of accounts, invoicing, expense tracking
- Train staff or bookkeeper"
.,Draft service and maintenance protocols.md,"work_item_id: 1035
due date: 2025-03-07
responsible: Greg
accountable: Greg
consulted: Shawn, Jeff
informed: Board
status: """"","
**Task:**

Draft service and maintenance protocols

**Details:**

- Outline routine maintenance schedules and part replacements
- Document SLAs and warranties
- Prepare instructions for on-site technicians"
.,Identify and contact critical component suppliers.md,"work_item_id: 1019
due date: 2025-01-15
responsible: Shawn
accountable: Greg
consulted: Jeff
informed: Board
status: """"","
**Task:**

Identify and contact critical component suppliers

**Details:**

- Reach out to shortlisted suppliers
- Initiate discussions on pricing, MOQs, lead times
- Build initial vendor relationships"
.,Get quotes and lead times for materials.md,"work_item_id: 1020
due date: 2025-01-22
responsible: Greg
accountable: Greg
consulted: Shawn, Jeff
informed: Board
status: """"","
**Task:**

Get quotes and lead times for materials

**Details:**

- Request formal quotes from preferred suppliers
- Compare costs and delivery estimates
- Document supplier performance criteria"
.,Develop customer support framework.md,"work_item_id: 1034
due date: 2025-02-28
responsible: Jeff
accountable: Greg
consulted: Shawn
informed: Board
status: """"","
**Task:**

Develop customer support framework

**Details:**

- Define support channels (email, phone, portal)
- Set response times and troubleshooting guidelines
- Train staff or prepare external support contracts"
.,Draft pilot project testing protocols.md,"work_item_id: 1025
due date: 2025-01-29
responsible: Shawn
accountable: Greg
consulted: Jeff
informed: Board
status: """"","
**Task:**

Draft pilot project testing protocols

**Details:**

- Define test scenarios, frequency, data reporting
- Align with pilot customer’s requirements
- Establish pass/fail criteria"
.,Launch website and create brochures.md,"work_item_id: 1061
due date: 2025-01-29
responsible: Jeff
accountable: Greg
consulted: Shawn
informed: Board
status: """"","
**Task:**

Launch website and create brochures

**Details:**

- Develop basic website with product info/contact form
- Produce brochures highlighting features/benefits
- Maintain consistent brand messaging"
.,Draft NDAs employee contracts service agreements.md,"work_item_id: 1044
due date: 2025-01-03
responsible: Greg
accountable: Greg
consulted: Shawn, Jeff
informed: Board
status: """"","
**Task:**

Draft NDAs, employee contracts, service agreements

**Details:**

- Create standard legal templates for confidentiality and employment
- Include IP protection clauses
- Review with legal counsel before hiring"
.,Decide on legal structure.md,"work_item_id: 1040
due date: 2024-12-16
responsible: Shawn
accountable: Greg
consulted: Jeff
informed: Board
status: """"","
**Task:**

Decide on legal structure

**Details:**

- Compare corporation vs. LLC vs. other forms
- Consider tax, funding, IP protection implications
- Consult legal and finalize decision"
.,Draft detailed pilot project timeline.md,"work_item_id: 1029
due date: 2025-02-21
responsible: Shawn
accountable: Greg
consulted: Jeff
informed: Board
status: """"","
**Task:**

Draft detailed pilot project timeline

**Details:**

- Map out setup, testing, data collection phases
- Assign responsibilities and deadlines
- Include contingencies for delays"
.,Develop value proposition.md,"work_item_id: 1059
due date: 2025-01-29
responsible: Jeff
accountable: Greg
consulted: Shawn
informed: Board
status: """"","
**Task:**

Develop value proposition

**Details:**

- Articulate how our product solves detection challenges
- Emphasize accuracy, efficiency, compliance benefits
- Use messaging in marketing materials"
.,Publish thought leadership articles.md,"work_item_id: 1070
due date: 2025-03-07
responsible: Jeff
accountable: Greg
consulted: Shawn
informed: Board
status: """"","
**Task:**

Publish thought leadership articles

**Details:**

- Write articles on sustainability, compliance, tech innovations
- Submit to industry journals/pro networks
- Enhance brand credibility"
.,Identify key suppliers for biosensor components.md,"work_item_id: 1009
due date: 2024-12-27
responsible: Shawn
accountable: Greg
consulted: Jeff
informed: Board
status: """"","
**Task:**

Identify key suppliers for biosensor components

**Details:**

- Research and shortlist reliable component suppliers
- Evaluate quality, cost, lead times
- Prepare initial outreach"
.,Document current biosensor specifications and performance.md,"work_item_id: 1011
due date: 2024-12-16
responsible: Shawn
accountable: Shawn
consulted: Jeff
informed: Board
status: Backlog","
**Task:**

Document current biosensor specifications and performance data

**Details:**

- Gather existing technical data, lab results, benchmarks
- Create a reference document for internal use
- Identify data gaps needing further testing"
.,File necessary incorporation documents.md,"work_item_id: 1002
due date: 2024-12-18
responsible: Shawn
accountable: Greg
consulted: Jeff
informed: Board
status: """"","
**Task:**

File necessary incorporation documents

**Details:**

- Prepare and submit articles of incorporation
- Ensure compliance with local/federal regulations
- Obtain corporate registration number"
.,Launch digital marketing campaigns.md,"work_item_id: 1068
due date: 2025-02-21
responsible: Jeff
accountable: Greg
consulted: Shawn
informed: Board
status: """"","
**Task:**

Launch digital marketing campaigns (SEO, content)

**Details:**

- Optimize website for relevant keywords
- Publish blog posts/white papers
- Promote content via social media"
.,Develop compliance strategy.md,"work_item_id: 1050
due date: 2024-12-31
responsible: Shawn
accountable: Greg
consulted: Jeff
informed: Board
status: """"","
**Task:**

Develop compliance strategy

**Details:**

- Outline steps to meet regulatory requirements
- Assign responsibilities for filing/monitoring
- Integrate compliance into dev timeline"
