filename,work_item_id,due_date,responsible,accountable,consulted,informed,task,details
Create quality control parameters and testing protocols.md,1014,2025-01-07,Shawn,Greg,Jeff,Board,Create quality control parameters and testing protocols,"- Establish QC metrics (sensitivity, accuracy) - Draft testing procedures and acceptance criteria - Align with regulatory standards"
Establish accounting systems.md,1016,2025-01-22,Greg,Greg,"Shawn, Jeff",Board,Establish accounting systems,"- Select accounting software (e.g., QuickBooks) - Set up chart of accounts, invoicing, expense tracking - Train staff or bookkeeper"
Draft service and maintenance protocols.md,1035,2025-03-07,Greg,Greg,"Shawn, Jeff",Board,Draft service and maintenance protocols,"- Outline routine maintenance schedules and part replacements - Document SLAs and warranties - Prepare instructions for on-site technicians"
Arrange insurance.md,1006,2025-01-05,Greg,Greg,"Shawn, Jeff",Board,Arrange Insurance,"- Identify necessary business insurance (general liability, E&O) - Obtain quotes and select insurer - Secure coverage before pilot launch"
Identify and contact critical component suppliers.md,1019,2025-01-15,Shawn,Greg,Jeff,Board,Identify and contact critical component suppliers,"- Reach out to shortlisted suppliers - Initiate discussions on pricing, MOQs, lead times - Build initial vendor relationships"
Get quotes and lead times for materials.md,1020,2025-01-22,Greg,Greg,"Shawn, Jeff",Board,Get quotes and lead times for materials,"- Request formal quotes from preferred suppliers - Compare costs and delivery estimates - Document supplier performance criteria"
Develop customer support framework.md,1034,2025-02-28,Jeff,Greg,Shawn,Board,Develop customer support framework,"- Define support channels (email, phone, portal) - Set response times and troubleshooting guidelines - Train staff or prepare external support contracts"
Draft pilot project testing protocols.md,1025,2025-01-29,Shawn,Greg,Jeff,Board,Draft pilot project testing protocols,"- Define test scenarios, frequency, data reporting - Align with pilot customer’s requirements - Establish pass/fail criteria"
Launch website and create brochures.md,1061,2025-01-29,Jeff,Greg,Shawn,Board,Launch website and create brochures,"- Develop basic website with product info/contact form - Produce brochures highlighting features/benefits - Maintain consistent brand messaging"
Create 12-month roadmap beyond pilot.md,1039,2025-03-07,Shawn,Greg,Jeff,Board,Create 12-month roadmap beyond pilot,"- Outline key milestones (scaling, new markets) - Integrate commercialization, R&D, marketing plans - Align roadmap with financial projections"
Assist with patent finalization.md,1048,2024-12-23,Shawn,Greg,Jeff,Board,Assist with patent finalization,"- Work with researcher and attorney to finalize application - Ensure technical claims are accurate - Submit required forms/amendments"
Decide on legal structure.md,1040,2024-12-16,Shawn,Greg,Jeff,Board,Decide on legal structure,"- Compare corporation vs. LLC vs. other forms - Consider tax, funding, IP protection implications - Consult legal and finalize decision"
Draft detailed pilot project timeline.md,1029,2025-02-21,Shawn,Greg,Jeff,Board,Draft detailed pilot project timeline,"- Map out setup, testing, data collection phases - Assign responsibilities and deadlines - Include contingencies for delays"
Collect case studies and testimonials.md,1062,2025-02-05,Jeff,Greg,Shawn,Board,Collect case studies and testimonials,"- Gather early feedback from labs or pilot runs - Document success stories/results - Incorporate into marketing and investor pitches"
Develop value proposition.md,1059,2025-01-29,Jeff,Greg,Shawn,Board,Develop value proposition,"- Articulate how our product solves detection challenges - Emphasize accuracy, efficiency, compliance benefits - Use messaging in marketing materials"
Begin client outreach and attend industry events.md,1067,2025-02-28,Jeff,Greg,Shawn,Board,Begin client outreach and attend industry events,"- Contact prospects via email, calls, LinkedIn - Sign up for trade shows/conferences - Schedule demos and meetings"
Publish thought leadership articles.md,1070,2025-03-07,Jeff,Greg,Shawn,Board,Publish thought leadership articles,"- Write articles on sustainability, compliance, tech innovations - Submit to industry journals/pro networks - Enhance brand credibility"
Identify key suppliers for biosensor components.md,1009,2024-12-27,Shawn,Greg,Jeff,Board,Identify key suppliers for biosensor components,"- Research and shortlist reliable component suppliers - Evaluate quality, cost, lead times - Prepare initial outreach"
Document current biosensor specifications and performance.md,1011,2024-12-16,Shawn,Greg,Jeff,Board,Document current biosensor specifications and performance data,"- Gather existing technical data, lab results, benchmarks - Create a reference document for internal use - Identify data gaps needing further testing"
Develop FAQs and end-user documentation.md,1073,2025-03-07,Jeff,Greg,Shawn,Board,Develop FAQs and end-user documentation,"- Draft FAQ pages, user guides, maintenance manuals - Host documentation online for easy access - Update based on user feedback"
File necessary incorporation documents.md,1002,2024-12-18,Shawn,Greg,Jeff,Board,File necessary incorporation documents,"- Prepare and submit articles of incorporation - Ensure compliance with local/federal regulations - Obtain corporate registration number"
Launch digital marketing campaigns.md,1068,2025-02-21,Jeff,Greg,Shawn,Board,"Launch digital marketing campaigns (SEO, content)","- Optimize website for relevant keywords - Publish blog posts/white papers - Promote content via social media"
