path,filename,front_matter,body
Legal/Corporate Setup,Meet with lawyer to establish optimal corporate structure.md,"work_item_id: 1001
due date: 2024-12-16
responsible: Shawn
accountable: Shawn
consulted: Jeff
informed: Board
status: Backlog","
**Task:**

Meet with lawyer to establish optimal corporate structure

**Details:**

- Assess pros/cons of single vs. multiple entities
- Consider IP protection strategy
- Discuss dilution and investor attractiveness"
Legal/Corporate Setup,Decide on legal structure.md,"work_item_id: 1040
due date: 2024-12-16
responsible: Shawn
accountable: Greg
consulted: Jeff
informed: Board
status: """"","
**Task:**

Decide on legal structure

**Details:**

- Compare corporation vs. LLC vs. other forms
- Consider tax, funding, IP protection implications
- Consult legal and finalize decision"
Legal/Corporate Setup,File necessary incorporation documents.md,"work_item_id: 1002
due date: 2024-12-18
responsible: Shawn
accountable: Greg
consulted: Jeff
informed: Board
status: """"","
**Task:**

File necessary incorporation documents

**Details:**

- Prepare and submit articles of incorporation
- Ensure compliance with local/federal regulations
- Obtain corporate registration number"
Legal/Corporate Setup,Register the company.md,"work_item_id: 1041
due date: 2024-12-18
responsible: Shawn
accountable: Greg
consulted: Jeff
informed: Board
status: """"","
**Task:**

Register the company

**Details:**

- File incorporation documents
- Obtain registration, tax ID, licenses
- Confirm official business name approval"
Legal/Corporate Setup,Ownership and equity agreements.md,"work_item_id: 1042
due date: 2024-12-23
responsible: Shawn
accountable: Greg
consulted: Jeff
informed: Board
status: """"","
**Task:**

Ownership and equity agreements

**Details:**

- Draft founders’ agreement (equity, vesting, exits)
- Plan for future investor equity/dilution
- Secure signatures from all co-founders"
Legal/Corporate Setup,Draft NDAs employee contracts service agreements.md,"work_item_id: 1044
due date: 2025-01-03
responsible: Greg
accountable: Greg
consulted: Shawn, Jeff
informed: Board
status: """"","
**Task:**

Draft NDAs, employee contracts, service agreements

**Details:**

- Create standard legal templates for confidentiality and employment
- Include IP protection clauses
- Review with legal counsel before hiring"
Legal/Corporate Setup,Define service product agreement (Liability terms).md,"work_item_id: 1005
due date: 2025-01-03
responsible: Greg
accountable: Greg
consulted: Shawn, Jeff
informed: Board
status: """"","
**Task:**

Define service/product agreement (Liability terms)

**Details:**

- Draft standard client service agreement
- Address liability, warranty, and indemnification clauses
- Align terms with pilot and future commercial deployment"
Intellectual property,Assist with patent finalization.md,"work_item_id: 1048
due date: 2024-12-23
responsible: Shawn
accountable: Greg
consulted: Jeff
informed: Board
status: """"","
**Task:**

Assist with patent finalization

**Details:**

- Work with researcher and attorney to finalize application
- Ensure technical claims are accurate
- Submit required forms/amendments"
Intellectual property,Begin patent transfer process to company.md,"work_item_id: 1003
due date: 2024-12-23
responsible: Shawn
accountable: Greg
consulted: Jeff
informed: Board
status: """"","
**Task:**

Begin patent transfer process to company

**Details:**

- Initiate paperwork to transfer patent ownership
- Coordinate with patent holder and legal counsel
- Track progress and confirm filings"
Intellectual property,Secure IP rights to the patent.md,"work_item_id: 1043
due date: 2024-12-30
responsible: Shawn
accountable: Greg
consulted: Jeff
informed: Board
status: """"","
**Task:**

Secure IP rights to the patent

**Details:**

- Finalize licensing/assignment with researcher
- Confirm patent ownership transfer
- Update IP portfolio documentation"
Intellectual property,Draft initial IP licensing framework.md,"work_item_id: 1004
due date: 2024-12-30
responsible: Shawn
accountable: Greg
consulted: Jeff
informed: Board
status: """"","
**Task:**

Draft initial IP licensing framework

**Details:**

- Outline terms for IP licensing between entities (if multiple)
- Consider royalty rates, exclusivity, termination clauses
- Consult with legal to ensure enforceability"
